day,room,booth_number,paper_id,booth_id,type,title,author_list
1,R,5,65,R-5,予稿ありデモポスター,片手操作時の端末背面における人差し指を用いたタッチ入力拡張手法の提案,"清 佑輔 (筑波大)，
舩越 南斗 (筑波大)，
志築 文太郎 (筑波大)"
1,G,1,66,G-1,予稿ありデモポスター,円筒状の拡縮デバイスの開発とMR応用,"瓦谷 佳之 (東京電機大)，
久保 遼太 (コムチュア)，
松浦 昭洋 (東京電機大)"
3,R,9,67,R-9,予稿ありデモポスター,イヤフォン形状を活かしたアンビエントディスプレイの提案,"岡田 一志 (立命館大)，
松村 耕平 (立命館大)，
野間 春生 (立命館大)"
1,G,7,68,G-7,予稿ありデモポスター,エラ呼吸感覚提示システムGill+Manにおける嚥下感覚提示デバイスの評価,"溝口 泉 (電通大)，
櫻井 翔 (電通大)，
広田 光一 (電通大)，
野嶋 琢也 (電通大)"
1,G,13,69,G-13,予稿ありデモポスター,Past Brush: 過去を追体験するために現実世界を塗り替えるブラシ,"川島 莉杏 (明治大)，
宮下 芳明 (明治大)"
3,R,1,70,R-1,予稿ありデモポスター,レイキャストによる引出しジェスチャを用いた大型ディスプレイ向けの操作手法,"藤田 俊 (筑波大)，
栁原 直貴 (筑波大)，
志築 文太郎 (筑波大)，
高橋 伸 (筑波大)"
3,R,21,71,R-21,予稿ありデモポスター,介護施設内での徘徊防止のための頭部認識を利用した軌跡取得システムの提案,"橘 優理子 (京産大)，
瀬川 典久 (京産大)"
1,R,20,72,R-20,予稿ありデモポスター,家庭用ACアダプタのグラウンド端子を用いた静電摩擦触覚ディスプレイ,"加藤 邦拓 (東大)，
石塚 裕己 (阪大)"
3,R,23,73,R-23,予稿ありデモポスター,（公開準備中）,"滝谷 和希 (はこだて未来大)，
沖 真帆 (はこだて未来大)，
塚田 浩二 (はこだて未来大)"
2,R,23,76,R-23,ロングティザー発表,WISSに適切な評価実験デザインとは？,宮下 芳明 (明治大)
2,I,1,77,I-1,予稿ありデモポスター,無線給電の不安定さを利用した光るアクセサリーの表現の検討,"加藤 敬太 (電通大)，
佐藤 俊樹 (北陸先端大)"
3,R,17,78,R-17,予稿ありデモポスター,既存スポーツと既存ビデオゲームを融合させた競技の提案と実装,"山田 恭平 (電通大)，
栗原 一貴 (津田塾大)，
野嶋 琢也 (電通大)"
3,R,7,79,R-7,予稿ありデモポスター,創造活動過程で生成された知識断片を余すことなく活用可能にする継続的創造活動支援システムの提案,"生田 泰章 (サイボウズ・ラボ)
"
3,G,3,80,G-3,予稿なしデモポスター,速読のための横書き縦並び配置・ハシゴレイアウト,"三谷 将大 (電通大)，
寺田 実 (電通大)"
1,R,24,81,R-24,予稿なしデモポスター,360度映像とユーザ入力を用いた任意経路に対するナビゲーション映像生成手法,"粥川 青汰 (早大)，
樋口 啓太 (東大)，
森島 繁生 (早大)，
櫻田 健 (産総研)"
1,G,15,82,G-15,予稿なしデモポスター,受動触覚を用いたタッチタイピング学習支援手法の検討,"髙倉 礼 (筑波大)，
八箇 恭平 (筑波大)，
志築 文太郎 (筑波大)"
2,G,15,83,G-15,予稿なしデモポスター,ユーザの顔の向きに基づいたスマートウォッチ画面点灯時間の最適化の検討,"三縄 香織 (筑波大)，
中村 拓人 (筑波大)，
志築 文太郎 (筑波大)"
1,G,17,85,G-17,予稿なしデモポスター,レーザプリンタと金属箔を用いた回路の試作 ver2,"瀬川 典久 (京産大)，
加藤 邦拓 (東大)，
真鍋 宏幸 (芝浦工大)"
2,G,16,86,G-16,予稿なしデモポスター,音楽聴取者への呼びかけに気づかせるシステム,"原 貴洋 (ヤマハ電子楽器開発部ソリューション開発G)
"
3,G,16,87,G-16,予稿なしデモポスター,ゲームAIによるパラメータ空間解析を活用した難易度調整用インターフェース,"末竹 裕貴 (東大)，
福里 司 (東大)，
Arzate Cruz Christian (東大)，
Nealen Andy (University of Southern California)，
五十嵐 健夫 (東大)"
1,R,16,201,R-16,招待デモ,奈良先端大 久保 尋之,久保 尋之（奈良先端大）
3,R,15,202,R-15,招待デモ,筑波大 矢倉 大夢,矢倉 大夢（筑波大）
2,R,13,1001,R-13,企業展示,チームラボ株式会社,チームラボ株式会社
3,R,12,1002,R-12,企業展示,フューチャー株式会社,フューチャー株式会社
2,R,15,1003,R-15,企業展示,株式会社サイバーエージェント（AI Lab),株式会社サイバーエージェント（AI Lab)
1,R,12,1004,R-12,企業展示,株式会社バンダイナムコスタジオ,株式会社バンダイナムコスタジオ
2,R,11,1005,R-11,企業展示,株式会社 電通国際情報サービス,株式会社電通国際情報サービス
1,R,14,1007,R-14,企業展示,ディライトワークス株式会社,ディライトワークス株式会社
